"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3","2","22uF","Capacitor_SMD:C_0805_2012Metric",""
"2","C2","1","470uF","Capacitor_SMD:CP_Elec_6.3x7.7",""
"3","C4, C5","2","47pF","Capacitor_SMD:C_0805_2012Metric",""
"4","C6","1","10nF","Capacitor_SMD:C_0805_2012Metric",""
"5","C7","1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"6","C8","1","2.2uF","Capacitor_SMD:C_0805_2012Metric",""
"7","C9, C10, C11","3","1uF","Capacitor_SMD:C_0805_2012Metric",""
"8","C12, C13, C14, C15","4","220pF","Capacitor_SMD:C_0805_2012Metric",""
"9","D1, D2","2","LED","LED_SMD:LED_0805_2012Metric",""
"10","D3, D4","2","SM712_SOT23","Package_TO_SOT_SMD:SOT-23",""
"11","FB1","1","600R","Resistor_SMD:R_0402_1005Metric",""
"12","J1","1","USB_B","Connector_USB:USB_B_TE_5787834_Vertical",""
"13","J2","1","Mini-DIN-8","footprints:CONN_MDJ-004_ADM",""
"14","R1, R2","2","27","Resistor_SMD:R_0805_2012Metric",""
"15","R3, R4","2","1K","Resistor_SMD:R_0805_2012Metric",""
"16","R5, R6, R7, R8, R9, R10, R11, R12","8","22","Resistor_SMD:R_0805_2012Metric",""
"17","U1","1","FT230XS","Package_SO:SSOP-16_3.9x4.9mm_P0.635mm",""
"18","U2","1","AZ1117H-ADJ","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"19","U3","1","TaskTalk-2.0","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"20","U4, U5","2","SN65HVD11HD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
