"Designator","Footprint","Quantity","Value","LCSC Part #"
"C1, C3",805,2,"22uF","C77071"
"C10, C11, C9",805,3,"1uF","C5137482"
"C12, C13, C14, C15",805,4,"200pF","C152877"
"C2",805,1,"470uF","C970704"
"C4, C5",805,2,"47pF","C5137640"
"C6",805,1,"10nF","C282728"
"C7",805,1,"100nF","C2931453"
"C8",805,1,"2.2uF","C967589"
"D1, D2",805,2,"LED","C2293"
"D3, D4","SOT-23",2,"SM712_SOT23","C5451662"
"FB1",402,1,"600R","C19136"
"J1","USB_B_TE_5787834_Vertical",1,"USB_B","C305923"
"J2","CONN_MDJ-004_ADM",1,"Mini-DIN-8",
"R1, R2",805,2,27,"C101623"
"R10, R11, R12, R5, R6, R7, R8, R9",805,8,25,"C101623"
"R3, R4",805,2,"1K","C17513"
"U1","SSOP-16_3.9x4.9mm_P0.635mm",1,"FT230XS","C69082"
"U2","SOT-223-3_TabPin2",1,"AZ1117H-ADJ","C108492"
"U3","SOIC-8_3.9x4.9mm_P1.27mm",1,"TaskTalk-2.0",
"U4, U5","SOIC-8_3.9x4.9mm_P1.27mm",2,"SN65HVD11HD","C68886"
