Designator,Mid X,Mid Y,Rotation,Layer
C1,133.604,-78.166,90.0,top
C10,152.785,-90.805,180.0,top
C11,152.9305,-77.851,180.0,top
C12,157.8575,-97.536,0.0,top
C13,161.9215,-97.536,0.0,top
C14,157.881,-77.978,0.0,top
C15,161.945,-77.978,0.0,top
C2,117.856,-77.216,0.0,top
C3,112.71,-77.216,0.0,top
C4,124.46,-91.948,0.0,top
C5,124.46,-94.996,0.0,top
C6,128.966,-85.852,180.0,top
C7,143.256,-91.694,180.0,top
C8,143.256,-94.869,180.0,top
C9,143.256,-84.582,0.0,top
D1,133.4285,-97.409,180.0,top
D2,137.2385,-97.409,180.0,top
D3,167.579,-98.4735,270.0,top
D4,166.878,-77.724,90.0,top
FB1,124.333,-85.725,180.0,top
J1,110.592,-86.4,90.0,top
J2,169.164,-87.884,270.0,top
R1,128.524,-91.948,0.0,top
R10,157.861,-85.598,0.0,top
R11,161.925,-81.788,0.0,top
R12,161.925,-85.598,0.0,top
R2,128.6275,-94.996,0.0,top
R3,133.4035,-94.361,0.0,top
R4,137.317,-94.361,0.0,top
R5,157.8375,-90.678,0.0,top
R6,161.9015,-90.678,0.0,top
R7,157.8375,-94.092,0.0,top
R8,161.9015,-94.107,0.0,top
R9,157.861,-81.803,0.0,top
U1,137.16,-88.9,180.0,top
U2,127.0,-79.756,0.0,top
U3,141.224,-80.01,180.0,top
U4,150.941,-95.885,0.0,top
U5,150.9645,-81.915,0.0,top
